Timestamp	Accel X	Accel Y	Accel Z	Gyro X	Gyro Y	Gyro Z	Start Flag							
268	-0.125610352	0.934082031	0.217163086	-10.98632717	1.037597656	-4.943847656	9							
269	-0.118164063	0.97265625	0.14465332	-2.929687262	3.051757574	-11.2304678	9							
270	-0.102050781	0.961914063	0.177612305	2.014160156	0.48828122	-1.464843631	9							
271	-0.086669922	0.948852539	0.200073242	2.319335938	-0.793456972	-0.122070305	9							
272	-0.094360352	0.951782227	0.199707031	0	0.793456972	-6.652831554	9							
273	-0.030517578	0.966796875	0.186889648	0.24414061	-0.793456972	-5.187987804	9							
274	-0.064819336	0.955200195	0.19909668	0.671386659	-6.103515148	-7.080077648	9							
275	-0.01159668	0.955810547	0.200195313	-0.122070305	0.854492128	-7.446288586	9							
276	-0.049194336	0.950561523	0.188720703	1.220703125	-16.66259766	-37.04833984	9							
277	0.093505859	0.96105957	0.227172852	7.812499523	-51.02538681	-72.08251953	9							
278	0.18359375	0.919921875	0.215087891	0.671386659	-1.281738162	-73.91357422	9							
279	0.28503418	0.870727539	0.328735352	8.056640625	15.93017483	-36.92626953	9							
280	0.255371094	0.912597656	0.211181641	-7.019042492	-12.57324123	-16.35742188	9							
281	0.508300781	0.802124023	0.293457031	-0.793456972	27.8930645	-21.11816216	9							
282	0.352294922	0.832275391	0.229125977	2.075195313	0.427246064	-0.549316406	9							
283	0.50793457	0.841430664	0.220825195	-5.981444836	-8.605957031	3.051757574	9							
284	0.519165039	0.873168945	0.145507813	-1.831054568	7.080077648	4.699707031	9							
285	0.463989258	0.868774414	0.203613281	-5.920409679	4.943847656	22.64404106	9							
286	0.326904297	0.889038086	0.145507813	-15.80810452	2.929687262	40.161129	9							
287	0.306640625	0.956298828	0.087036133	-9.155273438	23.92577934	62.74413681	9							
288	0.221923828	0.951171875	0.118896484	-8.7890625	27.95409966	78.43017578	9							
289	-0.369140625	0.974243164	-0.041870117	-7.507323742	-39.91699219	107.1777267	9							
290	0.046630859	0.954956055	0.181152344	0.671386659	2.44140625	11.59667873	9							
291	-0.145019531	0.994018555	0.050048828	-1.708984256	-8.483886719	7.812499523	9							
292	-0.116455078	0.952270508	0.141235352	2.502441406	6.225585461	-3.967284918	9							
293	-0.135498047	0.969848633	0.107543945	1.464843631	-0.97656244	-1.892089725	9							
294	-0.098632813	0.966308594	0.135620117	0.48828122	1.953124881	0.183105454	9							
295	-0.096923828	0.965820313	-0.142089844	-2.014160156	-2.075195313	0.915527284	10							
296	-0.174682617	0.9453125	-0.131225586	-2.929687262	-0.610351563	2.563476324	10							
297	-0.148803711	0.965820313	-0.122436523	-2.319335938	1.831054568	-1.281738162	10							
298	-0.103759766	0.964477539	-0.144287109	-2.258300781	-1.6479491	2.807616949	10							
